"state","state_abbreviation","county","fips","party","winner"
"Alabama","AL","Autauga",1001,"Democrat","Hillary Clinton"
"Alabama","AL","Barbour",1005,"Democrat","Hillary Clinton"
"Alabama","AL","Blount",1009,"Democrat","Hillary Clinton"
"Alabama","AL","Bullock",1011,"Democrat","Hillary Clinton"
"Alabama","AL","Butler",1013,"Democrat","Hillary Clinton"
"Alabama","AL","Chambers",1017,"Democrat","Hillary Clinton"
"Alabama","AL","Chilton",1021,"Democrat","Hillary Clinton"
"Alabama","AL","Clarke",1025,"Democrat","Hillary Clinton"
"Alabama","AL","Cleburne",1029,"Democrat","Hillary Clinton"
"Alabama","AL","Coffee",1031,"Democrat","Hillary Clinton"
"Alabama","AL","Colbert",1033,"Democrat","Hillary Clinton"
"Alabama","AL","Conecuh",1035,"Democrat","Hillary Clinton"
"Alabama","AL","Coosa",1037,"Democrat","Hillary Clinton"
"Alabama","AL","Crenshaw",1041,"Democrat","Hillary Clinton"
"Alabama","AL","Cullman",1043,"Democrat","Hillary Clinton"
"Alabama","AL","Dale",1045,"Democrat","Hillary Clinton"
"Alabama","AL","Dallas",1047,"Democrat","Hillary Clinton"
"Alabama","AL","Escambia",1053,"Democrat","Hillary Clinton"
"Alabama","AL","Etowah",1055,"Democrat","Hillary Clinton"
"Alabama","AL","Geneva",1061,"Democrat","Hillary Clinton"
"Alabama","AL","Greene",1063,"Democrat","Hillary Clinton"
"Alabama","AL","Hale",1065,"Democrat","Hillary Clinton"
"Alabama","AL","Henry",1067,"Democrat","Hillary Clinton"
"Alabama","AL","Lowndes",1085,"Democrat","Hillary Clinton"
"Alabama","AL","Marengo",1091,"Democrat","Hillary Clinton"
"Alabama","AL","Mobile",1097,"Democrat","Hillary Clinton"
"Alabama","AL","Pickens",1107,"Democrat","Hillary Clinton"
"Alabama","AL","Russell",1113,"Democrat","Hillary Clinton"
"Alabama","AL","St. Clair",1115,"Democrat","Hillary Clinton"
"Alabama","AL","Talladega",1121,"Democrat","Hillary Clinton"
"Alabama","AL","Tallapoosa",1123,"Democrat","Hillary Clinton"
"Alabama","AL","Tuscaloosa",1125,"Democrat","Hillary Clinton"
"Alabama","AL","Walker",1127,"Democrat","Hillary Clinton"
"Alaska","AK","State House District 1",90200101,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 10",90200110,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 11",90200111,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 12",90200112,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 13",90200113,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 14",90200114,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 15",90200115,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 16",90200116,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 17",90200117,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 18",90200118,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 19",90200119,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 2",90200102,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 20",90200120,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 21",90200121,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 22",90200122,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 23",90200123,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 24",90200124,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 25",90200125,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 26",90200126,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 27",90200127,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 28",90200128,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 29",90200129,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 3",90200103,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 30",90200130,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 31",90200131,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 32",90200132,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 33",90200133,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 34",90200134,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 35",90200135,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 36",90200136,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 37",90200137,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 38",90200138,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 39",90200139,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 4",90200104,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 40",90200140,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 5",90200105,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 6",90200106,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 7",90200107,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 8",90200108,"Democrat","Bernie Sanders"
"Alaska","AK","State House District 9",90200109,"Democrat","Bernie Sanders"
"Arizona","AZ","Apache",4001,"Democrat","Hillary Clinton"
"Arizona","AZ","Cochise",4003,"Democrat","Hillary Clinton"
"Arizona","AZ","Coconino",4005,"Democrat","Bernie Sanders"
"Arizona","AZ","Gila",4007,"Democrat","Hillary Clinton"
"Arizona","AZ","Graham",4009,"Democrat","Hillary Clinton"
"Arizona","AZ","Greenlee",4011,"Democrat","Hillary Clinton"
"Arizona","AZ","La Paz",4012,"Democrat","Hillary Clinton"
"Arizona","AZ","Maricopa",4013,"Democrat","Hillary Clinton"
"Arizona","AZ","Mohave",4015,"Democrat","Hillary Clinton"
"Arizona","AZ","Navajo",4017,"Democrat","Hillary Clinton"
"Arizona","AZ","Pima",4019,"Democrat","Hillary Clinton"
"Arizona","AZ","Pinal",4021,"Democrat","Hillary Clinton"
"Arizona","AZ","Santa Cruz",4023,"Democrat","Hillary Clinton"
"Arizona","AZ","Yavapai",4025,"Democrat","Hillary Clinton"
"Arizona","AZ","Yuma",4027,"Democrat","Hillary Clinton"
"Arkansas","AR","Arkansas",5001,"Democrat","Hillary Clinton"
"Arkansas","AR","Ashley",5003,"Democrat","Hillary Clinton"
"Arkansas","AR","Baxter",5005,"Democrat","Hillary Clinton"
"Arkansas","AR","Chicot",5017,"Democrat","Hillary Clinton"
"Arkansas","AR","Cleveland",5025,"Democrat","Hillary Clinton"
"Arkansas","AR","Craighead",5031,"Democrat","Hillary Clinton"
"Arkansas","AR","Crittenden",5035,"Democrat","Hillary Clinton"
"Arkansas","AR","Cross",5037,"Democrat","Hillary Clinton"
"Arkansas","AR","Desha",5041,"Democrat","Hillary Clinton"
"Arkansas","AR","Drew",5043,"Democrat","Hillary Clinton"
"Arkansas","AR","Faulkner",5045,"Democrat","Hillary Clinton"
"Arkansas","AR","Hempstead",5057,"Democrat","Hillary Clinton"
