Country Code,Country Name,Continent,Continent Color
ARG,Argentina,South America,green
BOL,Bolivia,South America,green
BRA,Brazil,South America,green
CHL,Chile,South America,green
COL,Colombia,South America,green
ECU,Ecuador,South America,green
FLK,Falkland Islands,South America,green
GUF,French Guiana,South America,green
GUF,Guiana,South America,green
GUY,Guyana,South America,green
PRY,Paraguay,South America,green
PER,Peru,South America,green
SUR,Suriname,South America,green
URY,Uruguay,South America,green
VEN,Venezuela,South America,green
DZA,Algeria,Africa,yellow
AGO,Angola,Africa,yellow
SHN,Ascension,Africa,yellow
BEN,Benin,Africa,yellow
BWA,Botswana,Africa,yellow
BFA,Burkina Faso,Africa,yellow
BDI,Burundi,Africa,yellow
CMR,Cameroon,Africa,yellow
CPV,Cape Verde Islands,Africa,yellow
CAF,Central African Republic,Africa,yellow
TCD,Chad Republic,Africa,yellow
COM,Comoros,Africa,yellow
COG,Congo,Africa,yellow
COD,Dem. Republic of the Congo,Africa,yellow
DJI,Djibouti,Africa,yellow
EGY,Egypt,Africa,yellow
GNQ,Equatorial Guinea,Africa,yellow
ERI,Eritrea,Africa,yellow
ETH,Ethiopia,Africa,yellow
GAB,Gabon Republic,Africa,yellow
GMB,Gambia,Africa,yellow
GHA,Ghana,Africa,yellow
GIN,Guinea,Africa,yellow
GNB,Guinea-Bissau,Africa,yellow
CIV,Ivory Coast,Africa,yellow
KEN,Kenya,Africa,yellow
LSO,Lesotho,Africa,yellow
LBR,Liberia,Africa,yellow
LBY,Libya,Africa,yellow
MDG,Madagascar,Africa,yellow
MWI,Malawi,Africa,yellow
MLI,Mali Republic,Africa,yellow
MRT,Mauritania,Africa,yellow
MUS,Mauritius,Africa,yellow
MYT,Mayotte Island,Africa,yellow
MAR,Morocco,Africa,yellow
MOZ,Mozambique,Africa,yellow
NAM,Namibia,Africa,yellow
NER,Niger Republic,Africa,yellow
NGA,Nigeria,Africa,yellow
STP,Principe,Africa,yellow
REU,Reunion Island,Africa,yellow
RWA,Rwanda,Africa,yellow
STP,Sao Tome,Africa,yellow
SEN,Senegal Republic,Africa,yellow
SYC,Seychelles,Africa,yellow
SLE,Sierra Leone,Africa,yellow
